APRESENTAÇÃO,Quantidade,Unidade,Descrição do item,Unidades,Com Rev
100 MG/G SAB CT FIL PP X 60 G,100,MG/G,SAB CT FIL PP  G,60,
SOL NAS CT FR PLAS OPC X 30 ML,,,SOL NAS CT FR PLAS OPC  ML,30,
100 MCG/JATO DOSE SUS AER CT TB AL X 200 JATOS,100,MCG/JATO,DOSE SUS AER CT TB AL  JATOS,200,
400MG/5G + 4MG/5G + 4MG/5G PO SOL OR CX 50 ENV AL X 5G ,400MG/5G,+,4MG/5G  4MG/5G PO SOL OR C ENV AL G,50,
400 MG/5G + 4 MG /5G+ 4MG/5G PO SOL OR CX 100 ENV AL X 5G ,400,MG/5G,+ 4 MG /5G+ 4 PO SOL OR C ENV AL G,100,
"40 MG/ML+ 0,6 MG/ML+ 0,6 MG/ML SOL OR CT FR PLAS AMB X 100 ML",40,MG/ML+,"0,6  0,6 MG/ML SOL OR CT FR PLAS AMB  ML",100,
400 MG + 4 MG + 4 MG CAP  DURA CT BL AL PLAS TRANS X 20,400,MG,+ 4  + 4  CAP  DURA CT BL AL PLAS TRANS ,20,
400 MG + 4 MG + 4 MG CAP DURA CT BL AL PLAS TRANS X 200,400,MG,+ 4  + 4  CAP DURA CT BL AL PLAS TRANS ,200,
XPE CT FR PLAS AMB X 240 ML,,,XPE CT FR PLAS AMB  ML,240,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 200,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,200,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 12,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,12,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 200,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,200,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 30,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,30,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 36,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,36,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 100,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,100,
35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 300,35,MG,+ 300  + 50  COM CT BL AL PLAS LARANJA ,300,
25 MG/ML SOL OR CT FR GOT PLAS OPC X 30ML,25,MG/ML,SOL OR CT FR GOT PLAS OPC ML,30,
10 MG/ML XPE CT FR PLAS AMB X 100 ML,10,MG/ML,XPE CT FR PLAS AMB  ML,100,
"(35,6 + 37 + 47,6) MG/ML SUS OR CT FR PLAS AMB X 240 ML","(35,6 + 37 + 47,6)",MG/ML,SUS OR CT FR PLAS AMB  ML,240,
(178 + 185 + 230) MG COM MAST CT BL AL PLAS TRANS X 20,(178 + 185 + 230),MG,COM MAST CT BL AL PLAS TRANS ,20,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR ABACAXI),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS  (SABOR ABACAXI),100,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR NATURAL),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS  (SABOR NATURAL),100,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR LARANJA),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS  (SABOR LARANJA),100,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25 (SABOR ABACAXI),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS  (SABOR ABACAXI),25,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50(SABOR ABACAXI),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS (SABOR ABACAXI),50,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25(SABOR NATURAL) ,(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS (SABOR NATURAL),25,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50(SABOR NATURAL),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS (SABOR NATURAL),50,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25  (SABOR LARANJA) ,(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS   (SABOR LARANJA),25,
(178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50 (SABOR LARANJA),(178+ 185+ 230),MG,/ 5 G PO EFEV CT ENV AL PLAS  (SABOR LARANJA),50,
"2,0 MG COM CT BL AL PLAS TRANS X 12","2,0",MG,COM CT BL AL PLAS TRANS ,12,
"2,0 MG COM CT BL AL PLAS TRANS X 200 (EMB HOSP)","2,0",MG,COM CT BL AL PLAS TRANS  (EMB HOSP),200,
20 MG/ML LOC CT FR PLAST OPC X 30 ML,20,MG/ML,LOC CT FR PLAST OPC  ML,30,
150 MG CAP GEL DURA CT BL AL PLAS INC X 30,150,MG,CAP GEL DURA CT BL AL PLAS INC ,30,
50 MG COM REV CT BL AL PLAS TRANS X 20 ,50,MG,CT BL AL PLAS TRANS ,20,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 30 ,50,MG,CT BL AL PLAS TRANS ,30,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 3,500,MG,CT BL AL PLAS PVC TRANS ,3,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 5,500,MG,CT BL AL PLAS PVC TRANS ,5,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 500,500,MG,CT BL AL PLAS PVC TRANS X,500,COM REV
400 MG COM REV CT STR AL X 14,400,MG,CT STR AL ,14,COM REV
400 MG COM REV CT STR AL X 420,400,MG,CT STR AL ,420,COM REV
250 MG CAP DURA CT BL PLAS TRANS X 60 ,250,MG,CAP DURA CT BL PLAS TRANS ,60,
250 MG CAP DURA CT BL PLAS TRANS X 30,250,MG,CAP DURA CT BL PLAS TRANS ,30,
20MG CAP DURA CT BL AL PLAS TRANS X 28,20MG,CAP,DURA CT BL AL PLAS TRANS ,28,
20MG CAP DURA CT BL AL PLAS TRANS X 30,20MG,CAP,DURA CT BL AL PLAS TRANS ,30,
20MG CAP DURA CT BL AL PLAS TRANS X 60,20MG,CAP,DURA CT BL AL PLAS TRANS ,60,
20MG CAP DURA CT BL AL PLAS TRANS X 990,20MG,CAP,DURA CT BL AL PLAS TRANS ,990,
"(150,0+150,0+15,0+50,0) MG COM CT STR AL X 200","(150,0+150,0+15,0+50,0)",MG,COM CT STR AL ,200,
"2,0 MG COM CT BL AL PLAS TRANS X 12","2,0",MG,COM CT BL AL PLAS TRANS ,12,
"2,0 MG COM CT BL AL PLAS TRANS X 200","2,0",MG,COM CT BL AL PLAS TRANS ,200,
"2,0 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC)","2,0",MG,COM CT BL AL PLAS TRANS  (EMB FRAC),200,
"5,631 G GRAN SOL OR CT ENV AL/PLAS PES/PE OPC","5,631",G,RAN SOL OR CT ENV AL/PLAS PES/PE OPC,,
"5,631 G GRAN SOL OR CT ENV AL/PLAS PES/PE OPC X 2","5,631",G,RAN SOL OR CT ENV AL/PLAS PES/PE OPC ,2,
"5,631 G GRAN SOL OR CT ENV AL/PLAS PES/PE OPC","5,631",G,RAN SOL OR CT ENV AL/PLAS PES/PE OPC,,
"5,631 G GRAN SOL OR CT ENV AL/PLAS PES/PE OPC X 2","5,631",G,RAN SOL OR CT ENV AL/PLAS PES/PE OPC ,2,
"0,1 MG/ML SOL IVIT CX FA VD TRANS X 2 ML","0,1",MG/ML,SOL IVIT CX FA VD TRANS  ML,2,
20 MG/ML SOL OFT CT PR PLAS OPC GOT X 10 ML,20,MG/ML,SOL OFT CT PR PLAS OPC GOT  ML,10,
40 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML,40,MG/ML,SOL OFT CT FR PLAS OPC GOT  ML,10,
50 MG/ML SOL OFT FR GOT PLAS PE TRANS X 10 ML,50,MG/ML,SOL OFT FR GOT PLAS PE TRANS  ML,10,
40 MG/ML SUSP INJ CT  FA VD AMB X 1 ML ,40,MG/ML,SUSP INJ CT  FA VD AMB  ML,1,
"10.000 UI/G + 25 MG/G + 5 MG/G + 5 MG/G POM OFT CT BG AL X 3,5 G",10.000,UI/G,"+ 25 MG/G + 5 MG/G + 5 MG/G POM OFT CT BG AL ,5 G",3,
"3 MG/G + 1 MG/G POM OFT CT BG AL X 3,5 G",3,MG/G,"+ 1  POM OFT CT BG AL X ,5 G",3,
3 MG/ML + 1 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML,3,MG/ML,+ 1  SUS OFT CT FR PLAS TRANS GOT  ML,5,
"3 MG/G POM OFT CT BG AL X 3,5 G",3,MG/G,"POM OFT CT BG AL X ,5 G",3,
1 MG + 5 MG + 6.000 UI/ML SUS OFT CT FR PLAS OPC GOT X 5 ML,1,MG,+ 5  + 6.000 UI/ML SUS OFT CT FR PLAS OPC GOT  ML,5,
"1 MG + 5 MG + 6.000 UI/G POM OFT CT BG AL X 3,5 G",1,MG,"+ 5  + 6.000 UI/G POM OFT CT BG AL ,5 G",3,
20 MG/ML SOL OFT CT FR GOT PLAS TRANS X 10 ML,20,MG/ML,SOL OFT CT FR GOT PLAS TRANS  ML,10,
5 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML,5,MG/ML,SOL OFT CT FR GOT PLAS OPC X  ML,5,
5 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML,5,MG/ML,SOL OFT CT FR GOT PLAS OPC  ML,10,
"(3,5 + 1) MG/G POM OFT CT BG AL X 3,5 G","(3,5 + 1)",MG/G,"POM OFT CT BG AL ,5 G",3,
"3,5 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML","3,5",MG/ML,SOL OFT CT FR GOT PLAS OPC  ML,5,
"3,5 MG/G POM OFT CT BG AL X 3,5 G","3,5",MG/G,POM OFT CT BG AL X  G,3,
"(0,5 + 4,0) MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML","(0,5 + 4,0)",MG/ML,SOL OFT CT FR GOT PLAS OPC  ML,10,
10 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML,10,MG/ML,SOL OFT CT FR GOT PLAS TRANS  ML,5,
"(0,1 + 17) MG/ML SOL OFT CT FR GOT PLAS TRANS  X 10 ML","(0,1 + 17)",MG/ML,SOL OFT CT FR GOT PLAS TRANS   ML,10,
1 MG/ML SUS OFT CT FR GOT PLAS TRANS X 5 ML  ,1,MG/ML,SUS OFT CT FR GOT PLAS TRANS  ML,5,
"5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML","5,0",MG/ML,SOL OFT CT FR GOT PLAS OPC  ML,5,
10 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML,10,MG/ML,SOL OFT CT FR GOT PLAS TRANS  ML,5,
4 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML,4,MG/ML,SOL OFT CT FR GOT PLAS OPC  ML,10,
2 MG/ML PO LIOF INJ CT FA VD AMB X 1 ML + DIL AMP X 1 ML,2,MG/ML,PO LIOF INJ CT FA VD AMB  ML + DIL AMP  ML,1,
2 MG/ML SUS INJ CX FR VD AMB X 5 ML,2,MG/ML,SUS INJ CX FR VD AMB  ML,5,
SUS OR CX FR PLAS CGT X 15 ML (1º SÉRIE),,,SUS OR CX FR PLAS CGT  ML (1º SÉRIE),15,
SUS OR CX FR PLAS CGT X 15 ML (2º SÉRIE),,,SUS OR CX FR PLAS CGT  ML (2º SÉRIE),15,
SUS OR CX FR PLAS CGT X 15 ML (3º SÉRIE),,,SUS OR CX FR PLAS CGT  ML (3º SÉRIE),15,
5 MCG/ML SOL OR CX FR PLAS GOT X 15 ML,5,MCG/ML,SOL OR CX FR PLAS GOT  ML,15,
50 MCG/ML SOL OR CX FR PLAS GOT X 15 ML,50,MCG/ML,SOL OR CX FR PLAS GOT  ML,15,
500 MCG/ML SOL OR CX FR PLAS GOT X 15 ML,500,MCG/ML,SOL OR CX FR PLAS GOT  ML,15,
5 MCG/ML SOL INJ CX FA VD AMB X 5 ML,5,MCG/ML,SOL INJ CX FA VD AMB X  ML,5,
50 MCG/ML SOL INJ CX FA VD AMB X 5 ML,50,MCG/ML,SOL INJ CX FA VD AMB  ML,5,
500 MCG/ML SOL INJ CX FA VD AMB X 5 ML,500,MCG/ML,SOL INJ CX FA VD AMB  ML,5,
5 MCG/ML SUS INJ CT FA VD AMB X 5 ML,5,MCG/ML,SUS INJ CT FA VD AMB X  ML,5,
50 MCG/ML SUS INJ CT FA VD AMB X 5 ML,50,MCG/ML,SUS INJ CT FA VD AMB  ML,5,
500 MCG/ML SUS INJ CT FA VD AMB X 5 ML,500,MCG/ML,SUS INJ CT FA VD AMB  ML,5,
2 MG/ML SOL ORAL CX FR PLAST OPC GOT X 10 ML,2,MG/ML,SOL ORAL CX FR PLAST OPC GOT  ML,10,
"1,25 MCG CX FR PLAS OPC GOT X 15 ML (1A. SÉRIE - SL)","1,25",MCG,CX FR PLAS OPC GOT  ML (1A. SÉRIE - SL),15,
"12,5 MCG CX FR PLAS GT X 15 ML (2 A. SÉRIE SL)","12,5",MCG,CX FR PLAS GT  ML (2 A. SÉRIE SL),15,
125 MCG CX FR PLAS GT X 15 ML (3 A. SÉRIE  SL),125,MCG,CX FR PLAS GT  ML (3 A. SÉRIE  SL),15,
"1,25 MCG CX FR VD AMB X 5 ML (1A. SÉRIE SC)","1,25",MCG,CX FR VD AMB  ML (1A. SÉRIE SC),5,
"12,5 MCG CX FR VD AMB X 5 ML  (2 A. SÉRIE SC) ","12,5",MCG,CX FR VD AMB  ML  (2 A. SÉRIE SC),5,
125 MCG CX FR VD AMB X 5 ML (3 A. SÉRIE SC)   ,125,MCG,CX FR VD AMB  ML (3 A. SÉRIE SC),5,
"1,25 MCG CX FR VD AMB X 5 ML (1A. SÉRIE SC - AP)","1,25",MCG,CX FR VD AMB  ML (1A. SÉRIE SC - AP),5,
"12,5 MCG CX FR VD AMB X 5 ML (2A. SÉRIE SC-AP)   ","12,5",MCG,CX FR VD AMB  ML (2A. SÉRIE SC-AP),5,
125 MCG CX FR VD AMB X 5 ML (3A. SÉRIE  SC-AP),125,MCG,CX FR VD AMB  ML (3A. SÉRIE  SC-AP),5,
100 UI/ML SOL INJ CT FA VD TRANS X 10 ML,100,UI/ML,SOL INJ CT FA VD TRANS  ML,10,
100 UI/ML SOL INJ CT 5 CAR VD TRANS X 3 ML (PENFILL),100,UI/ML,SOL INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 UI/ML SOL INJ CT 1 CAR VD TRANS X 3 ML X 1 SIST APLIC PLAS (FLEXPEN),100,UI/ML,SOL INJ CT 1 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXPEN),3,
100 UI/ML SOL INJ CT 5 CAR VD TRANS X 3 ML X 5 SIST APLIC PLAS (FLEXPEN),100,UI/ML,SOL INJ CT 5 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXPEN),3,
100 UI/ML SUS INJ CT FA VD TRANS X 10 ML,100,UI/ML,SUS INJ CT FA VD TRANS  ML,10,
100 UI/ML SUS INJ CT 5 CAR VD TRANS X 3 ML (PENFILL),100,UI/ML,SUS INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 UI/ML SUS INJ CT 1 CAR VD TRANS X 3 ML X 1 SIST APLIC PLAS (FLEXPEN),100,UI/ML,SUS INJ CT 1 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXPEN),3,
100 UI/ML SUS INJ CT 5 CAR VD TRANS X 3 ML X 5 SIST APLIC PLAS (FLEXPEN),100,UI/ML,SUS INJ CT 5 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXPEN),3,
"5 MG SOL INJ CT 1 CARP  VD TRANS  X 1,5 ML X 1 SIST APLIC PLAST  ",5,MG,"SOL INJ CT 1 CARP  VD TRANS  , ML  SIST APLIC PLAST",1,
"10MG SOL INJ CT 1 CARP  VD TRANS X 1,5 ML X 1 SIST APLIC PLAST",10MG,SOL,"INJ CT 1 CARP  VD TRANS ,5 ML  SIST APLIC PLAST",1,
"15 MG SOL INJ CT 1 CARP  VD TRANS X 1,5 ML  X 1 SIST APLIC PLAST  ",15,MG,"SOL INJ CT 1 CARP  VD TRANS ,5 ML   SIST APLIC PLAST",1,
"5 MG SOL INJ CT 1 CARP  VD TRANS  X 1,5 ML  X 1 SIST APLIC PLAST. ",5,MG,"SOL INJ CT 1 CARP  VD TRANS  , ML   SIST APLIC PLAST.",1,
"10 MG SOL INJ CT 1 CARP  VD TRANS X 1,5 ML  X 1 SIST APLIC PLAST. ",10,MG,"SOL INJ CT 1 CARP  VD TRANS ,5 ML   SIST APLIC PLAST.",1,
"5 MG SOL INJ CT 1 CAR VD TRANS 1,5 ML X 1 SIST APLIC PLAS FLEXPRO",5,MG,"SOL INJ CT 1 CAR VD TRANS 1, ML  SIST APLIC PLAS FLEXPRO",1,
"15 MG SOL INJ CT 1 CARP  VD TRANS X 1,5 ML  X 1 SIST APLIC PLAST .",15,MG,"SOL INJ CT 1 CARP  VD TRANS ,5 ML   SIST APLIC PLAST .",1,
"10 MG SOL INJ CT 1 CAR VD TRANS 1,5 ML X 1 SIST APLIC PLAS FLEXPRO",10,MG,"SOL INJ CT 1 CAR VD TRANS 1,5 ML  SIST APLIC PLAS FLEXPRO",1,
"15 MG SOL INJ CT 1 CAR VD TRANS 1,5 ML X 1 SIST APLIC PLAS FLEXPRO",15,MG,"SOL INJ CT 1 CAR VD TRANS 1,5 ML  SIST APLIC PLAS FLEXPRO",1,
"1 MG (50 KUI) PO LIOF INJ CT FR VD TRANS + FR VD TRANS DIL X 1,1 ML",1,MG,"(50 KUI) PO LIOF INJ CT FR VD TRANS + FR VD TRANS DIL X , ML",1,
"2 MG (100 KUI) PO LIOF INJ CT FR VD TRANS + FR VD TRANS DIL X 2,1 ML",2,MG,"(100 KUI) PO LIOF INJ CT FR VD TRANS + FR VD TRANS DIL X ,1 ML",2,
"5 MG (250 KUI) PO LIOF INJ CT FR VD TRANS + FR VD TRANS DIL X 5,2 ML",5,MG,"(20 KUI) PO LIOF INJ CT FR VD TRANS + FR VD TRANS DIL X ,2 ML",5,
1 MG (50 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 1 ML,1,MG,(50 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X  ML,1,
2 MG (100 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 2 ML,2,MG,(100 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X  ML,2,
5 MG (250 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 5 ML,5,MG,(20 KUI) PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X  ML,5,
1 UI/MG PO LIOF SOL INJ EST PLAST 1 FA VD TRANS + SER PREENC VD TRANS X 1 ML (HYPOKIT),1,UI/MG,PO LIOF SOL INJ EST PLAST  FA VD TRANS + SER PREENC VD TRANS X  ML (HYPOKIT),1,
100 U/ML SOL INJ CT 1 FA VD TRANS X 10 ML,100,U/ML,SOL INJ CT 1 FA VD TRANS  ML,10,
100 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML (PENFILL),100,U/ML,SOL INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML + 5 SIST APLIC PLAS (FLEXPEN),100,U/ML,SOL INJ CT 5 CAR VD TRANS  ML + 5 SIST APLIC PLAS (FLEXPEN),3,
100 U/ML SOL INJ CT 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS (FLEXPEN),100,U/ML,SOL INJ CT 1 CAR VD TRANS  ML + 1 SIST APLIC PLAS (FLEXPEN),3,
100 U/ML SUS INJ CT 5 CAR VD TRANS X 3 ML (PENFILL),100,U/ML,SUS INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 U/ML SUS INJ CT 5 CAR VD TRANS X 3 ML X 5 SIST  APLIC PLAS (FLEXPEN),100,U/ML,SUS INJ CT 5 CAR VD TRANS  ML  SIST  APLIC PLAS (FLEXPEN),3,
100 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML (PENFILL) ,100,U/ML,SOL INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 U/ML SOL INJ CT 1 CAR VD TRANS X 3 ML  X 1 SIST APLIC PLAS (FLEXPEN) ,100,U/ML,SOL INJ CT 1 CAR VD TRANS  ML   SIST APLIC PLAS (FLEXPEN),3,
100 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML X 5 SIST APLIC PLAS (FLEXPEN)  ,100,U/ML,SOL INJ CT 5 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXPEN),3,
6 MG/ML SOL INJ CT 2 CARP VD TRANS X 3 ML + 2 SIST APLIC PLAS,6,MG/ML,SOL INJ CT 2 CARP VD TRANS  ML + 2 SIST APLIC PLAS,3,
100 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML (PENFILL) ,100,U/ML,SOL INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 U/ML SOL INJ CT 1 CAR VD TRANS X 3 ML X 1 SIST APLIC PLAS (FLEXTOUCH) ,100,U/ML,SOL INJ CT 1 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXTOUCH),3,
100 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML X 5 SIST APLIC PLAS (FLEXTOUCH)  ,100,U/ML,SOL INJ CT 5 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXTOUCH),3,
200 U/ML SOL INJ CT 1 CAR VD TRANS X 3 ML X 1 SIST APLIC PLAS (FLEXTOUCH)  ,200,U/ML,SOL INJ CT 1 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXTOUCH),3,
200 U/ML SOL INJ CT 2 CAR VD TRANS X 3 ML X 2 SIST APLIC PLAS (FLEXTOUCH)  ,200,U/ML,SOL INJ CT 2 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXTOUCH),3,
200 U/ML SOL INJ CT 3 CAR VD TRANS X 3 ML X 3 SIST APLIC PLAS (FLEXTOUCH)  ,200,U/ML,SOL INJ CT 3 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXTOUCH),3,
200 U/ML SOL INJ CT 5 CAR VD TRANS X 3 ML X 5 SIST APLIC PLAS (FLEXTOUCH)  ,200,U/ML,SOL INJ CT 5 CAR VD TRANS  ML  SIST APLIC PLAS (FLEXTOUCH),3,
6 MG/ML SOL INJ CT X 1 CAR VD TRANS X 3 ML X 1 SIST APLIC PLAS,6,MG/ML,SOL INJ CT  CAR VD TRANS  ML  SIST APLIC PLAS,1,
6 MG/ML SOL INJ CT X 3 CAR VD TRANS X 3 ML X 3 SIST APLIC PLAS ,6,MG/ML,SOL INJ CT  CAR VD TRANS  ML  SIST APLIC PLAS,3,
6 MG/ML SOL INJ CT X 5 CAR VD TRANS X 3 ML X 5 SIST APLIC PLAS ,6,MG/ML,SOL INJ CT  CAR VD TRANS  ML  SIST APLIC PLAS,5,
"100 U/ML + 3,6 MG/ML SOL INJ CT X 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS",100,U/ML,"+ 3,6 MG/ML SOL INJ CT  CAR VD TRANS  ML + 1 SIST APLIC PLAS",1,
"100 U/ML + 3,6 MG/ML SOL INJ CT X 3 CAR VD TRANS X 3 ML + 3 SIST APLIC PLAS",100,U/ML,"+ 3,6 MG/ML SOL INJ CT  CAR VD TRANS  ML + 3 SIST APLIC PLAS",3,
"100 U/ML + 3,6 MG/ML SOL INJ CT X 5 CAR VD TRANS X 3 ML + 5 SIST APLIC PLAS",100,U/ML,"+ 3,6 MG/ML SOL INJ CT  CAR VD TRANS  ML + 5 SIST APLIC PLAS",5,
250UI PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 4 ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,250UI,PO,LIOF INJ CT FR VD TRANS + SER PREENC DIL  ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,4,
500UI PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 4 ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,500UI,PO,LIOF INJ CT FR VD TRANS + SER PREENC DIL  ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,4,
1000UI PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 4 ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,1000UI,PO,LIOF INJ CT FR VD TRANS + SER PREENC DIL  ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,4,
1500UI PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 4 ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,1500UI,PO,LIOF INJ CT FR VD TRANS + SER PREENC DIL  ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,4,
2000UI PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 4 ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,2000UI,PO,LIOF INJ CT FR VD TRANS + SER PREENC DIL  ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,4,
3000UI PO LIOF INJ CT FR VD TRANS + SER PREENC DIL X 4 ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,3000UI,PO,LIOF INJ CT FR VD TRANS + SER PREENC DIL  ML + 1 HASTE ÊMBOLO + 1 ADAPTADOR FR,4,
100 U / ML SOL INJ CT 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS (FLEXTOUCH),100,U,/ ML SOL INJ CT 1 CAR VD TRANS  ML + 1 SIST APLIC PLAS (FLEXTOCH),3,
100 U / ML SOL INJ CT 5 CAR VD TRANS X 3 ML + 5 SIST APLIC PLAS (FLEXTOUCH),100,U,/ ML SOL INJ CT 5 CAR VD TRANS  ML + 5 SIST APLIC PLAS (FLEXTOCH),3,
100 U / ML SOL INJ CT 1 FA VD TRANS X 10 ML,100,U,/ ML SOL INJ CT 1 FA VD TRANS  ML,10,
100 U / ML SOL INJ CT 5 CAR VD TRANS X 3 ML (PENFILL),100,U,/ ML SOL INJ CT 5 CAR VD TRANS  ML (PENFILL),3,
100 U / ML SOL INJ CT 10 CAR VD TRANS X 3 ML (PENFILL),100,U,/ ML SOL INJ CT 10 CAR VD TRANS  ML (PENFILL),3,
"1,34 MG/ML SOL INJ CT X 1 CAR VD TRANS X 1,5 ML + 1 SIST APLIC PLAS (DOSES 0,25MG E 0,5 MG) + 6 AGULHAS NOVOFINE","1,34",MG/ML,"SOL INJ CT  CAR VD TRANS ,5 ML + 1 SIST APLIC PLAS (DOSES 0,25MG E 0,5 MG) + 6 AGULHAS NOVOFINE",1,
"1,34 MG/ML SOL INJ CT X 1 CAR VD TRANS X 3 ML + 1 SIST APLIC PLAS (DOSES 1 MG) + 4 AGULHAS NOVOFINE","1,34",MG/ML,SOL INJ CT  CAR VD TRANS  ML + 1 SIST APLIC PLAS (DOSES 1 MG) + 4 AGULHAS NOVOFINE,1,
3 MG COM OR CT BL AL AL X 10,3,MG,COM OR CT BL AL AL ,10,
3 MG COM OR CT BL AL AL X 30,3,MG,COM OR CT BL AL AL ,30,
3 MG COM OR CT BL AL AL X 60,3,MG,COM OR CT BL AL AL ,60,
3 MG COM OR CT BL AL AL X 90,3,MG,COM OR CT BL AL AL ,90,
