APRESENTAÇÃO,Quantidade,Tipo de Produto,Detalhes da Embalagem,Unidades
SOL OR CT FR VD AMB X 240 ML + CP MED,,SOL OR CT FR VD AMB X 240 ML,+ CP MED,
"0,2 MG/ML LOC CT FR PLAS OPC X 100 ML","0,2 MG",,/ML LOC CT FR PLAS OPC  ML,X 100
"0,2 MG/ML SHAMPOO CT FR PLAS X 100 ML","0,2 MG",,/ML SHAMPOO CT FR PLAS  ML,X 100
500 MG COM CT  STR X 100,500 MG,COM CT  STR X 100,,
500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ,500 MG,,/ML SOL OR CT FR PLAS OPC GOT  ML,X 20
30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS TRANS X 20,30 MG,,+ 300 MG + 30 MG COM REV CT BL AL PLAS TRANS,X 20
30 MG + 300 MG + 30 COM REV CT BL AL PLAS TRANS X 200,30 MG,,+ 300 MG + 30 COM REV CT BL AL PLAS TRANS,X 200
"5 MG/G POM OFT CT BG AL X 3,5G",5 MG,,"/G POM OFT CT BG AL ,5G",X 3
"(52,5 + 44,4 + 20) MG/G POM DERM CT BG AL X 20 G","(52,5 + 44,4 + 20) MG",,/G POM DERM CT BG AL  G,X 20
10MG/G CREM DER CT BG AL X 50 G ,10MG,,/G CREM DER CT BG AL  G,X 50
5MG/G POM DERM CT BG AL X 10 G,5MG,,/G POM DERM CT BG AL  G,X 10
"20 MG/G + 0,5 MG/G POM DERM CT BG AL X 30 G",20 MG,,"/G + 0,5 MG/G POM DERM CT BG AL  G",X 30
"20 MG/G+ 0,5 MG/G CREM DERM CT BG AL X 30 G",20 MG,,"/G+ 0,5 MG/G CREM DERM CT BG AL  G",X 30
"(500+1+5) MG /1,5ML SOL OR  CT FR VD AMB GOT X 15 ML",(500+1+5) MG,,"/1,5ML SOL OR  CT FR VD AMB GOT  ML",X 15
(500+10+5) MG COM CT BL AL PLAS PVC TRANS X 12,(500+10+5) MG,COM CT BL AL PLAS PVC TRANS X 12,,
(500+10+5) MG COM CT BL AL PLAS PVC TRANS X 200,(500+10+5) MG,COM CT BL AL PLAS PVC TRANS X 200,,
400 MG + 4 MG  +4 MG CAP GEL DURA CT BL AL PLAS TRANS X 20,400 MG,,+ 4 MG  +4 MG CAP GEL DURA CT BL AL PLAS TRANS,X 20
100 MG/ML + 2 MG/ML  +2 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML,100 MG,,/ML + 2 MG/ML  +2 MG/ML SOL OR CT FR GOT PLAS OPC  ML,X 20
400 MG + 4 MG + 4 MG CAP GEL DURA CT 50 BL AL PLAS TRANS X 4,400 MG,,+ 4 MG + 4 MG CAP GEL DURA CT 50 BL AL PLAS TRANS,X 4
"40 MG/ML + 0,6 MG/ML + 0,6 MG/ML SOL OR CT FR VD AMB X 100 ML + COP",40 MG,,"/ML + 0,6 MG/ML + 0,6 MG/ML SOL OR CT FR VD AMB  ML + COP",X 100
750 MG COM CT BL AL PLAS AMB X 20,750 MG,COM CT BL AL PLAS AMB X 20,,
750 MG COM CT BL AL PLAS AMB X 200,750 MG,COM CT BL AL PLAS AMB X 200,,
200 MG/ML SOL OR CT FR GOT PLAS OPC X 15 ML,200 MG,,/ML SOL OR CT FR GOT PLAS OPC  ML,X 15
750 MG COM CT BL AL PLAS TRANSL PVC LAR X 20,750 MG,COM CT BL AL PLAS TRANSL PVC LAR X 20,,
750 MG COM CT BL AL PLAS TRANSL PVC LAR X 200,750 MG,COM CT BL AL PLAS TRANSL PVC LAR X 200,,
"0,8 MG/ML XPE CT FR VD AMB X 100 ML + 4 MG/G ENV AL X 5 G + COP","0,8 MG",,/ML XPE CT FR VD AMB  ML + 4 MG/G ENV AL X 5 G + COP,X 100
"(0,4 + 0,05) MG/ML XPE CT FR VD AMB X 120 ML + COP","(0,4 + 0,05) MG",,/ML XPE CT FR VD AMB  ML + COP,X 120
"2 MG + 0,25 MG COM CT BL AL PLAS OPC X 20",2 MG,,"+ 0,25 MG COM CT BL AL PLAS OPC",X 20
"(0,4 + 0,05) MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP","(0,4 + 0,05) MG",,/ML XPE CT FR PLAS PET AMB  ML + COP,X 120
25 MG/ML + 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ,25 MG,,/ML + 5 MG/ML SOL OR CT FR PLAS OPC GOT  ML,X 20
"(15,00+25,00+1,00+15,00) MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML","(15,00+25,00+1,00+15,00) MG",,/ML SUS OR CT FR PLAS OPC GOT  ML,X 20
74MG/G + 20MG/G POM DERM CT BG AL X 30G,74MG,,/G + 20MG/G POM DERM CT BG AL G,X 30
50 MG/G CREM DERM CT BG AL X 10 G,50 MG,,/G CREM DERM CT BG AL  G,X 10
200 MG COM CT BL AL PLAS TRANS X 25,200 MG,COM CT BL AL PLAS TRANS X 25,,
"0,4 MG/ML  XPE CT FR VD AMB X 100 ML + COP","0,4 MG",,/ML  XPE CT FR VD AMB  ML + COP,X 100
"0,4 MG/ML  XPE CT FR PLAS PET AMB X 100 ML + COP","0,4 MG",,/ML  XPE CT FR PLAS PET AMB  ML + COP,X 100
"0,4 MG/ML  XPE CX 50 FR PLAS PET AMB X 100 ML + 50 COP","0,4 MG",,/ML  XPE C FR PLAS PET AMB X 100 ML + 50 COP,X 50
20 MG/G CREM DERM  CT BG AL X 30 G,20 MG,,/G CREM DERM  CT BG AL  G,X 30
3 MG/ML XPE CT FR VD AMB X 120 ML + COP,3 MG,,/ML XPE CT FR VD AMB  ML + COP,X 120
6 MG/ML XPE CT FR VD AMB X 120 ML + COP,6 MG,,/ML XPE CT FR VD AMB  ML + COP,X 120
3 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,3 MG,,/ML XPE CT FR PLAS PET AMB  ML + COP,X 120
3 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP,3 MG,,/ML XPE C FR PLAS PET AMB X 120 ML + 50 COP,X 50
6 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,6 MG,,/ML XPE CT FR PLAS PET AMB  ML + COP,X 120
6 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP,6 MG,,/ML XPE C FR PLAS PET AMB X 120 ML + 50 COP,X 50
11.6 MG GEL CT BG AL X 60 G,11.6 MG,GEL CT BG AL X 60 G,,
100 MG CAP GEL DUR CT FR PLAS OPC X 12,100 MG,CAP GEL DUR CT FR PLAS OPC X 12,,
200 MG PO PREP EXTEMP CT 4 ENV AL/POLIET X 1 G,200 MG,PO PREP EXTEMP CT 4 ENV AL,/POLIET  G,X 1
200 MG CAP GEL DURA CT FR PLAS OPC X 6,200 MG,CAP GEL DURA CT FR PLAS OPC X 6,,
200 MG CAP GEL DURA CT FR PLAS OPC X 12,200 MG,CAP GEL DURA CT FR PLAS OPC X 12,,
200 MG CAP GEL DURA CT FR PLAS OPC X 24,200 MG,CAP GEL DURA CT FR PLAS OPC X 24,,
"(5,0 + 50,0 + 10,0) MG PAS DURA CT ENV AL X 12 (SBR FRAMBOESA)","(5,0 + 50,0 + 10,0) MG",PAS DURA CT ENV AL X 12,(SBR FRAMBOESA),
"(5,0 +50,0 +10,0) MG PAS DURA CT ENV AL X 12 (SBR MENTA)","(5,0 +50,0 +10,0) MG",PAS DURA CT ENV AL X 12,(SBR MENTA),
"(2,5 + 25,0 + 11,25) MG/ML XPE CT FR VD AMB X 120 ML + COP","(2,5 + 25,0 + 11,25) MG",,/ML XPE CT FR VD AMB  ML + COP,X 120
"(5,0 +50,0 +10,0) MG PAS DURA CT ENV AL X 12 (SBR MEL LIMÃO)","(5,0 +50,0 +10,0) MG",PAS DURA CT ENV AL X 12,(SBR MEL LIMÃO),
"(2,5 + 25,0 + 11,25) MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP","(2,5 + 25,0 + 11,25) MG",,/ML XPE CT FR PLAS PET AMB  ML + COP,X 120
"0,1MG/ML ELX CT FR VD AMB X 100 ML + COP","0,1MG",,/ML ELX CT FR VD AMB  ML + COP,X 100
"(35,6 + 37,0 + 46,0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR ABACAXI)","(35,6 + 37,0 + 46,0)MG",,/G PO EFEV DISP 100 SACH AL/POLIET  G (SABOR ABACAXI),X 5
"(35,6 + 37,0 + 46,0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR LARANJA)","(35,6 + 37,0 + 46,0)MG",,/G PO EFEV DISP 100 SACH AL/POLIET  G (SABOR LARANJA),X 5
"(35,6 + 37,0 + 46,0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR LIMÃO)","(35,6 + 37,0 + 46,0)MG",,/G PO EFEV DISP 100 SACH AL/POLIET  G (SABOR LIMÃO),X 5
"(35,6 + 37,0 + 46,0)MG/G PO EFEV DISP 50 SACH AL/POLIET X 5 G (SABOR ABACAXI) ","(35,6 + 37,0 + 46,0)MG",,/G PO EFEV DISP 50 SACH AL/POLIET  G (SABOR ABACAXI),X 5
"(35,6 + 37,0 + 46,0)MG/G PO EFEV DISP 50 SACH AL POLIET X 5 G (SABOR LARANJA)","(35,6 + 37,0 + 46,0)MG",,/G PO EFEV DISP 50 SACH AL POLIET  G (SABOR LARANJA),X 5
"(35,6 + 37,0 + 46,0)MG/G PO EFEV DISP 50 SACH AL/POLIET X 5 G (SABOR LIMÃO) ","(35,6 + 37,0 + 46,0)MG",,/G PO EFEV DISP 50 SACH AL/POLIET  G (SABOR LIMÃO),X 5
"0,4MG/ML +4 MG/ML +20 MG/ML SOL OR CT FR PET AMB X 120 ML + CP MEDIDA ","0,4MG",,/ML +4 MG/ML +20 MG/ML SOL OR CT FR PET AMB  ML + CP MEDIDA,X 120
100.000UI / G + 200MG / G POM CT BG AL X 60G,100.000UI,,/ G + 200MG / G POM CT BG AL G,X 60
(15 + 90) MG COM REV LIB PROL CT BL AL PLAS PVDC TRANS X 20,(15 + 90) MG,COM REV LIB PROL CT BL AL PLAS PVDC TRANS X 20,,
(15 + 90) MG COM REV LIB PROL CT BL AL PLAS PVDC TRANS X 60,(15 + 90) MG,COM REV LIB PROL CT BL AL PLAS PVDC TRANS X 60,,
1G COM EFEV CT ENV ALU TB PLAS X 10,1G,COM EFEV CT ENV ALU TB PLAS X 10,,
2G COM EFEV CT ENV ALU TB PLAS X 10,2G,COM EFEV CT ENV ALU TB PLAS X 10,,
500 MG COM CT ENV AL POLIET X 20 ,500 MG,COM CT ENV AL POLIET X 20,,
200 MG/ML SOL OR CT FR VD AMB CTG X 20 ML,200 MG,,/ML SOL OR CT FR VD AMB CTG  ML,X 20
"(0,10 + 0,0012 + 45)MG/ML SUS OR CT FR PLAS PEAD X 300 ML + COP","(0,10 + 0,0012 + 45)MG",,/ML SUS OR CT FR PLAS PEAD  ML + COP,X 300
"0,5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML ","0,5 MG",,/ML SOL NAS CT FR PLAS TRANS GOT  ML,X 30
1000 MG COM REV CT BL AL PLAS PVC TRANS X 1,1000 MG,COM REV CT BL AL PLAS PVC TRANS X 1,,
COM REV CT BL AL PLAS TRANS X 30,,COM REV CT BL AL PLAS TRANS X 30,,
1G + 1G COM EFEV CT TB PLAS PP OPC X 10,1G,,+ 1G COM EFEV CT TB PLAS PP OPC,X 10
1G + 1G COM EFEV CT TB PLAS PP OPC X 16,1G,,+ 1G COM EFEV CT TB PLAS PP OPC,X 16
20 MG CAP DURA LIB RETARD CT BL AL PLAS PVC/PVDC TRANS  X 30,20 MG,CAP DURA LIB RETARD CT BL AL PLAS PVC,/PVDC TRANS,X 30
20 MG CAP DURA LIB RETARD CT BL AL PLAS PVC/PVDC TRANS  X 60,20 MG,CAP DURA LIB RETARD CT BL AL PLAS PVC,/PVDC TRANS,X 60
20 MG CAP DURA LIB RETARD CT BL AL PLAS PVC/PVDC TRANS X 90,20 MG,CAP DURA LIB RETARD CT BL AL PLAS PVC,/PVDC TRANS,X 90
20 MG CAP DURA LIB RETARD CT BL AL PLAS PVC/PVDC TRANS  X 1400,20 MG,CAP DURA LIB RETARD CT BL AL PLAS PVC,/PVDC TRANS,X 1400
"17,138 MG/ML SUS OR CT FR PLAS PET AMB X 100 ML","17,138 MG",,/ML SUS OR CT FR PLAS PET AMB  ML,X 100
"17,138 MG/ML SUS OR CT FR VD AMB X 100 ML","17,138 MG",,/ML SUS OR CT FR VD AMB  ML,X 100
7 MG/ML XPE CT FR VD AMB X 100ML + COP ,7 MG,,/ML XPE CT FR VD AMB ML + COP,X 100
1G + 70MG COM EFEV CT TB PLAS X 30,1G,,+ 70MG COM EFEV CT TB PLAS,X 30
100 MG CAP DURA CT BL AL PLAS PVDC TRANS X 30,100 MG,CAP DURA CT BL AL PLAS PVDC TRANS X 30,,
100 MG CAP DURA CT BL AL PLAS PVDC TRANS X 60,100 MG,CAP DURA CT BL AL PLAS PVDC TRANS X 60,,
"3 MG + 0,03 MG COM REV CT BL AL/PLAS TRANS X 21 ",3 MG,,"+ 0,03 MG COM REV CT BL AL/PLAS TRANS",X 21
"(0,075+ 0,03) MG COM REV CT BL AL PLAS PVC TRANS X 21","(0,075+ 0,03) MG",COM REV CT BL AL PLAS PVC TRANS X 21,,
20 MG COM REV CT BL AL PLAS PVC TRANS X 10,20 MG,COM REV CT BL AL PLAS PVC TRANS X 10,,
"2 MG + 0,035 MG COM REV CT BL AL PLAS TRANS X 21",2 MG,,"+ 0,035 MG COM REV CT BL AL PLAS TRANS",X 21
"2 MG + 0,035 MG COM REV CT BL AL PLAS TRANS X 63",2 MG,,"+ 0,035 MG COM REV CT BL AL PLAS TRANS",X 63
750 MG COM CT BL AL PLAS AMB X 20,750 MG,COM CT BL AL PLAS AMB X 20,,
750 MG COM CT BL AL PLAS AMB X 200,750 MG,COM CT BL AL PLAS AMB X 200,,
200 MG/ML SOL OR CT FR GOT PLAS OPC X 15 ML,200 MG,,/ML SOL OR CT FR GOT PLAS OPC  ML,X 15
200 MG/ML SOL OR CX 100 FR GOT PLAS OPC X 15 ML,200 MG,,/ML SOL OR C FR GOT PLAS OPC X 15 ML,X 100
750 MG COM CT BL AL PLAS AMB X 500,750 MG,COM CT BL AL PLAS AMB X 500,,
200 MG/ML SOL OR CX 200 FR GOT PLAS OPC X 15 ML,200 MG,,/ML SOL OR C FR GOT PLAS OPC X 15 ML,X 200
450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 15,450 MG,,+ 50 MG COM REV CT BL AL PLAS PVC TRANS,X 15
450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 30,450 MG,,+ 50 MG COM REV CT BL AL PLAS PVC TRANS,X 30
450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 60,450 MG,,+ 50 MG COM REV CT BL AL PLAS PVC TRANS,X 60
450 MG + 50 MG COM REV CT BL AL PLAS PVC TRANS X 500,450 MG,,+ 50 MG COM REV CT BL AL PLAS PVC TRANS,X 500
1 G COM EFEV CT TB PLAS X 10,1 G,COM EFEV CT TB PLAS X 10,,
1 G COM EFEV CT TB PLAS X 30,1 G,COM EFEV CT TB PLAS X 30,,
2 G COM EFEV CT TB PLAS X 10,2 G,COM EFEV CT TB PLAS X 10,,
2 G COM EFEV CT TB PLAS X 30,2 G,COM EFEV CT TB PLAS X 30,,
200 MG/ML SOL OR CT FR GOT VD AMB X 20 ML,200 MG,,/ML SOL OR CT FR GOT VD AMB  ML,X 20
CAP MOLE CT BL AL PLAS TRANS X 30,,CAP MOLE CT BL AL PLAS TRANS X 30,,
CAP MOLE CT BL AL PLAS TRANS X 60,,CAP MOLE CT BL AL PLAS TRANS X 60,,
50 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20,50 MG,COM REV CT BL AL PLAS PVC,/PVDC OPC,X 20
100 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20,100 MG,COM REV CT BL AL PLAS PVC,/PVDC OPC,X 20
"2 MG + 0,035 MG COM REV CT BL AL PLAS TRANS X 21",2 MG,,"+ 0,035 MG COM REV CT BL AL PLAS TRANS",X 21
"(0,15 + 0,03) MG COM REV CT BL CALEND AL PLAS PVC TRANS X 21 ","(0,15 + 0,03) MG",COM REV CT BL CALEND AL PLAS PVC TRANS X 21,,
"37,84 MG/ML SOL ORAL CT FR VD AMB X 100 ML + COP","37,84 MG",,/ML SOL ORAL CT FR VD AMB  ML + COP,X 100
"37,84 MG/ML SOL ORAL CT FR PLAS AMB X 100 ML + COP","37,84 MG",,/ML SOL ORAL CT FR PLAS AMB  ML + COP,X 100
300 MG COM REV CT BL AL PLAS ACLAR TRANS X 20,300 MG,COM REV CT BL AL PLAS ACLAR TRANS X 20,,
900 MG COM REV CT BL AL PLAS PVC ACLAR TRANS X 20,900 MG,COM REV CT BL AL PLAS PVC ACLAR TRANS X 20,,
50 MG/ML SUS GOT OR CT FR PLAS PE OPC X 30 ML,50 MG,,/ML SUS GOT OR CT FR PLAS PE OPC  ML,X 30
100 MG/ML SUS GOT OR GOT CT FR PLAS PE OPC X 20 ML,100 MG,,/ML SUS GOT OR GOT CT FR PLAS PE OPC  ML,X 20
50 MG/G CREM DERM CT BG AL X 10 G,50 MG,,/G CREM DERM CT BG AL  G,X 10
200 MG COM CT BL AL PLAS TRANS X 25,200 MG,COM CT BL AL PLAS TRANS X 25,,
600 MG GRAN SOL OR CT 16 ENV AL/PLAS PE/PAP,600 MG,GRAN SOL OR CT 16 ENV AL,/PLAS PE/PAP,
20 MG/ML SOL OR CT FR VD AMB X 120ML + COP,20 MG,,/ML SOL OR CT FR VD AMB ML + COP,X 120
20 MG/ML SOL OR CX 50 FR VD AMB X 120 ML + 50 COP,20 MG,,/ML SOL OR C FR VD AMB X 120 ML + 50 COP,X 50
40 MG/ML SOL OR CT FR VD AMB X 120ML + COP,40 MG,,/ML SOL OR CT FR VD AMB ML + COP,X 120
40 MG/ML SOL OR CX 50 FR VD AMB X 120ML + 50 COP,40 MG,,/ML SOL OR C FR VD AMB X 120ML + 50 COP,X 50
"0,075 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 28","0,075 MG",COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 28
"0,075 MG COM REV CT BL AL PLAS  PVC/PVDC TRANS X 84","0,075 MG",COM REV CT BL AL PLAS  PVC,/PVDC TRANS,X 84
"0,075 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 280","0,075 MG",COM REV CT BL AL PLAS PVC,/PVDC  TRANS,X 280
"0,075 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 28","0,075 MG",COM REV CT BL AL PLAS PVC,/PVDC  TRANS,X 28
"0,075 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 84","0,075 MG",COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 84
"0,075 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 280","0,075 MG",COM REV CT BL AL PLAS PVC,/PVDC  TRANS,X 280
"1,5 MG COM CT BL AL PLAS PVC TRANS X 1","1,5 MG",COM CT BL AL PLAS PVC TRANS X 1,,
"1,5 MG COM CT BL AL PLAS PVC TRANS X 200","1,5 MG",COM CT BL AL PLAS PVC TRANS X 200,,
100 MG COM SUS CT BL AL PLAS PVC/PCTFE TRANS X 12,100 MG,COM SUS CT BL AL PLAS PVC,/PCTFE TRANS,X 12
"1,5 MG COM CT BL AL PLAS PVC TRANS X 1","1,5 MG",COM CT BL AL PLAS PVC TRANS X 1,,
"1,5 MG COM CT BL AL PLAS PVC TRANS X 200","1,5 MG",COM CT BL AL PLAS PVC TRANS X 200,,
50MG/ML + 5MG/ML SOL INJ CT AMP VD AMB X 1ML+ SERINGA,50MG,,/ML + 5MG/ML SOL INJ CT AMP VD AMB ML+ SERINGA,X 1
100MG COM REV CT BL AL PLAS TRANS X 6,100MG,COM REV CT BL AL PLAS TRANS X 6,,
10MG/ML SUS OR CT FR VD AMB X 40 ML + COP,10MG,,/ML SUS OR CT FR VD AMB  ML + COP,X 40
150 MG/ML + 10MG/ML SOL INJ CT AMP VD AMB X 1ML ,150 MG,,/ML + 10MG/ML SOL INJ CT AMP VD AMB ML,X 1
"0,625 MG COM REV CT BL AL PLAS TRANS CALEND X 28","0,625 MG",COM REV CT BL AL PLAS TRANS CALEND X 28,,
"1,5 MG COM CT BL AL PLAS PVC TRANS X 1","1,5 MG",COM CT BL AL PLAS PVC TRANS X 1,,
"1,5 MG COM CT BL AL PLAS PVC TRANS X 200","1,5 MG",COM CT BL AL PLAS PVC TRANS X 200,,
"(0,15 + 0,03) MG COM REV CT BL CALEND AL PLAS PVC TRANS X 21 ","(0,15 + 0,03) MG",COM REV CT BL CALEND AL PLAS PVC TRANS X 21,,
"(0,15 + 0,03) MG COM REV CT BL CALEND AL PLAS PVC TRANS X 1050","(0,15 + 0,03) MG",COM REV CT BL CALEND AL PLAS PVC TRANS X 1050,,
"(0,15 + 0,03) MG COM REV CT BL CALEND AL PLAS PVC TRANS X 63","(0,15 + 0,03) MG",COM REV CT BL CALEND AL PLAS PVC TRANS X 63,,
"(0,075+ 0,03) MG COM REV CT BL AL PLAS PVC TRANS X 21","(0,075+ 0,03) MG",COM REV CT BL AL PLAS PVC TRANS X 21,,
"2 MG + 0,035 MG COM REV CT BL AL PLAS TRANS X 21",2 MG,,"+ 0,035 MG COM REV CT BL AL PLAS TRANS",X 21
"2 MG + 0,035 MG COM REV CT BL AL PLAS TRANS X 63",2 MG,,"+ 0,035 MG COM REV CT BL AL PLAS TRANS",X 63
150MG/ML + 10MG/ML SOL INJ CT AMP VD AMB X 1ML,150MG,,/ML + 10MG/ML SOL INJ CT AMP VD AMB ML,X 1
50MG/ML + 5MG/ML SOL INJ CT AMP VD AMB X 1 ML + SERINGA ,50MG,,/ML + 5MG/ML SOL INJ CT AMP VD AMB  ML + SERINGA,X 1
(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 14 BL AL PLAS PVC/PVDC TRANS X 2+2+4 ,,,(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 14 BL AL PLAS PVC/PVDC TRANS +2+4,X 2
(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 7 BL AL PLAS PVC/PVDC TRANS X 2+2+4 + 30 MG CAP DURA BL AL PLAS PVC/PVDC TRANS X 28,,,(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 7 BL AL PLAS PVC/PVDC TRANS +2+4 + 30 MG CAP DURA BL AL PLAS PVC/PVDC TRANS X 28,X 2
100 MG COM SUS CT BL AL PLAS PVC/PCTFE TRANS X 12,100 MG,COM SUS CT BL AL PLAS PVC,/PCTFE TRANS,X 12
"(500,0 + 65,0) MG COM REV CT BL AL PLAS PVC TRANS X 8","(500,0 + 65,0) MG",COM REV CT BL AL PLAS PVC TRANS X 8,,
"(500,0 + 65,0) MG COM REV CT BL AL PLAS PVC TRANS X 20","(500,0 + 65,0) MG",COM REV CT BL AL PLAS PVC TRANS X 20,,
"(500,0 + 65,0) MG COM REV CT BL AL PLAS PVC TRANS X 120","(500,0 + 65,0) MG",COM REV CT BL AL PLAS PVC TRANS X 120,,
500 MG COM REV CT BL AL PLAS TRANS X 6,500 MG,COM REV CT BL AL PLAS TRANS X 6,,
500 MG COM REV CT BL AL PLAS TRANS X 14,500 MG,COM REV CT BL AL PLAS TRANS X 14,,
500 MG COM REV CT BL AL PLAS TRANS X 300,500 MG,COM REV CT BL AL PLAS TRANS X 300,,
"(500,0 + 65,0) MG COM REV CT BL AL PLAS PVC TRANS X 20","(500,0 + 65,0) MG",COM REV CT BL AL PLAS PVC TRANS X 20,,
"(500,0 + 65,0) MG COM REV CT BL AL PLAS PVC TRANS X 120","(500,0 + 65,0) MG",COM REV CT BL AL PLAS PVC TRANS X 120,,
20 MG COM REV CT BL AL PLAS PVC TRANS X 10,20 MG,COM REV CT BL AL PLAS PVC TRANS X 10,,
50MG/ML + 5MG/ML SOL INJ CT AMP VD AMB X 1 ML + SERINGA ,50MG,,/ML + 5MG/ML SOL INJ CT AMP VD AMB  ML + SERINGA,X 1
100 MG/ML SUS OR CT FR PLAS PEAD TRANSL X 15 ML + SER DOS,100 MG,,/ML SUS OR CT FR PLAS PEAD TRANSL  ML + SER DOS,X 15
100 MG CAP GEL DUR CT FR PLAS OPC X 12,100 MG,CAP GEL DUR CT FR PLAS OPC X 12,,
200 MG PÓ PREP EXTEMP CT 4 ENV AL POLIET X 1 G,200 MG,PÓ PREP EXTEMP CT 4 ENV AL POLIET X 1 G,,
200 MG CAP GEL DURA CT FR PLAS OPC X 6,200 MG,CAP GEL DURA CT FR PLAS OPC X 6,,
200 MG PO PREP EXTEMP CT 6 ENV AL/ POLIET X 1 G,200 MG,PO PREP EXTEMP CT 6 ENV AL,/ POLIET  G,X 1
600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 4,600 MG,CAP MOLE CT BL AL PLAS PVC,/PVDC TRANS,X 4
600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 10,600 MG,CAP MOLE CT BL AL PLAS PVC,/PVDC TRANS,X 10
600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 20,600 MG,CAP MOLE CT BL AL PLAS PVC,/PVDC TRANS,X 20
600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 30,600 MG,CAP MOLE CT BL AL PLAS PVC,/PVDC TRANS,X 30
600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 200,600 MG,CAP MOLE CT BL AL PLAS PVC,/PVDC TRANS,X 200
600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 500,600 MG,CAP MOLE CT BL AL PLAS PVC,/PVDC TRANS,X 500
100 MG/ML SUS OR CT FR PLAS PEAD TRANSL X 15 ML + SER DOS,100 MG,,/ML SUS OR CT FR PLAS PEAD TRANSL  ML + SER DOS,X 15
"(749,90 + 9999,24 + 1449,96 + 1750,01 + 30,00) MG PO SOL OR CT 4 ENV AL/PLAS X 14 G (SABOR NATURAL)","(749,90 + 9999,24 + 1449,96 + 1750,01 + 30,00) MG",PO SOL OR CT 4 ENV AL,/PLAS  G (SABOR NATURAL),X 14
50 MG/ML SOL CAPI CT FR PLAS PEAD OPC X 50 ML + VALV SPR,50 MG,,/ML SOL CAPI CT FR PLAS PEAD OPC  ML + VALV SPR,X 50
25MG COM CT  BL AL PLAS INC X 30,25MG,COM CT  BL AL PLAS INC X 30,,
50 MG COM CT  BL AL PLAS INC X 30,50 MG,COM CT  BL AL PLAS INC X 30,,
100 MG COM CT  BL AL PLAS INC X 30,100 MG,COM CT  BL AL PLAS INC X 30,,
10 MG COM REV CT BL AL PLAS AMB X 30,10 MG,COM REV CT BL AL PLAS AMB X 30,,
20 MG COM REV CT BL AL PLAS AMB X 30,20 MG,COM REV CT BL AL PLAS AMB X 30,,
4 G SAB CX 1 UND X 80 G,4 G,SAB CX 1 UND X 80 G,,
5 MG COM CT 2 BL AL PLAS INC X 15,5 MG,COM CT 2 BL AL PLAS INC X 15,,
10 MG COM CT 2 BL AL PLAS INC X 15,10 MG,COM CT 2 BL AL PLAS INC X 15,,
20 MG COM CT 2 BL AL PLAS INC X 15,20 MG,COM CT 2 BL AL PLAS INC X 15,,
"3,6 MG DEPOT + SER PREENC PLAS TRANS BS CT ENV AL POLIET X 1","3,6 MG",DEPOT,+ SER PREENC PLAS TRANS BS CT ENV AL POLIET,X 1
"10,8 MG DEPOT + SER PREENC PLAS TRANS BS CT ENV AL POLIET X 1","10,8 MG",DEPOT,+ SER PREENC PLAS TRANS BS CT ENV AL POLIET,X 1
